역명,위도,경도,자치구명
거여,37.493105,127.14415,송파구
마천,37.49499,127.152781,송파구
강일,37.55749,127.17593,강동구
미사,37.560927,127.193877,하남시
하남풍산,37.552034,127.203864,하남시
하남시청,37.54205,127.20612,하남시
하남검단산,37.53972,127.22345,하남시
응암,37.598605,126.915577,은평구
새절,37.591148,126.913629,은평구
증산,37.583876,126.909645,은평구
디지털미디어시티,37.576108,126.901391,마포구
월드컵경기장,37.569532,126.899298,마포구
마포구청,37.563515,126.903343,마포구
망원,37.556094,126.910052,마포구
상수,37.547716,126.922852,마포구
광흥창,37.547456,126.931993,마포구
대흥,37.547771,126.942069,마포구
효창공원앞,37.539233,126.961384,용산구
녹사평,37.534675,126.986695,용산구
이태원,37.534488,126.994302,용산구
한강진,37.539631,127.001725,용산구
버티고개,37.548013,127.007055,중구
창신,37.579661,127.015241,종로구
보문,37.585274,127.019351,성북구
안암,37.586272,127.029005,성북구
고려대,37.590508,127.036296,동대문구
월곡,37.601948,127.041518,성북구
상월곡,37.606377,127.048491,성북구
돌곶이,37.610537,127.056431,성북구
태릉입구,37.617338,127.074735,노원구
화랑대,37.620064,127.084689,노원구
봉화산,37.617283,127.091401,중랑구
신내,37.613174,127.102231,중랑구
역촌,37.606021,126.922744,은평구
독바위,37.618456,126.933031,은평구
구산,37.611377,126.91727,은평구
장암,37.700109,127.053196,의정부시
수락산,37.67785,127.055315,노원구
마들,37.66494,127.057675,노원구
중계,37.644583,127.064303,노원구
하계,37.636352,127.06799,노원구
공릉,37.625742,127.072896,노원구
먹골,37.610637,127.077725,중랑구
중화,37.602545,127.079264,중랑구
상봉,37.595577,127.085716,중랑구
면목,37.588579,127.087503,중랑구
사가정,37.580894,127.088478,중랑구
용마산,37.573647,127.086727,중랑구
중곡,37.565923,127.08432,광진구
어린이대공원,37.548014,127.074658,광진구
자양,37.53154,127.066704,광진구
청담,37.519365,127.05335,강남구
강남구청,37.517179,127.041255,강남구
학동,37.514229,127.031656,강남구
논현,37.511093,127.021415,강남구
반포,37.508178,127.011727,서초구
내방,37.487618,126.993513,서초구
남성,37.484596,126.971251,동작구
숭실대입구,37.496029,126.953822,동작구
상도,37.502834,126.94791,동작구
장승배기,37.504898,126.93915,동작구
